Time_Period,Quarter,Year,Autos,Var01,Var02,Var03,Var04,Var05,,,,,,,,,,,
73,Q1,2019,,2.3,4.5,2.9,5.0,3.8,,,,,,,,,,,
74,Q2,2019,,2.3,4.4,2.5,4.5,3.8,,,,,,,,,,,
75,Q3,2019,,2.1,4.3,2.4,4.4,3.8,,,,,,,,,,,
76,Q4,2019,,2.0,4.2,2.3,4.4,3.7,,,,,,,,,,,
77,Q1,2020,,2.1,4.2,2.2,4.3,3.8,,,,,,,,,,,
78,Q2,2020,,2.1,4.2,2.3,4.4,3.9,,,,,,,,,,,
79,Q3,2020,,2.1,4.2,2.3,4.4,4.0,,,,,,,,,,,
80,Q4,2020,,2.1,4.2,2.3,4.4,4.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
